47,49
47,95
47,144
47,190
47,241
47,287
47,340
47,385
47,473
47,519
47,570
47,616
47,667
197,95
197,144
197,190
197,241
197,287
197,340
242,95
242,339
438,95
438,339
438,385
438,473
438,519
438,570
438,616
438,667
483,95
483,570
483,616
483,667
707,667
708,616
708,665
708,712
714,711
718,710
721,709
723,708
725,707
727,706
729,705
730,704
732,703
733,702
735,701
736,700
737,699
738,698
739,697
740,696
741,695
742,693
743,692
744,691
745,690
746,688
747,686
748,685
749,682
750,679
751,677
752,672
753,616
872,95
872,570
918,95
918,243
918,289
918,570
1030,95
1031,96
1031,243
1031,289
1031,570
1031,616
1036,50
1039,51
1043,52
1046,53
1047,54
1050,55
1051,56
1053,57
1055,58
1056,59
1057,60
1058,61
1060,63
1061,64
1063,65
1065,67
1066,68
1067,70
1068,72
1069,73
1070,75
1071,77
1072,78
1073,81
1074,84
1075,87
1076,92
